TAG
".
차이라떼와 라씨
서방이 좋아하는.
.
#인도네팔음식점 #수엠부 #서강대맛집 #서강대앞 #신촌맛집 #차이라떼 #밀크티 #라씨 #플레인라씨 #인도음식점 #인도요리 #냠냠 #맛저 #일요일 #주말의끝을잡고"
"올만에 먹으니 더더욱 맛있당??
.
.
#신촌맛집 #신촌파스타 #신촌현대백화점 #벨피아또 #풍기끄레마 #고르곤졸라 #청포도에이드"
"#베트남노상식당 #신촌역 #신촌 
#쌀국수맛집 #이대맛집 #연대맛집 #신촌맛집 
#아모제푸드시스템 @strive_to_fly 대리님과 함께 방문한 <베트남노상식당>
경제적이고, 합리적인 가격으로 #베트남 현지의 음식을 맛볼 수 있어요.??
요즘 정신이 없을 정도로 끊임없이 매장 오픈이 이어져 있다고 합니다. 
우리회사의 새로운 브랜드 #hellmanns 
#realmayo 를 제안키 위해 함께 방문했어요~ 
좋은 결과를 가지고 돌아와 너무 기분 좋았는데, 돌아가는 길에 맛보라며 주신 2가지 메뉴! 
#새우크로켓반미세트 #푸팟퐁커리 
이렇게 푸짐한 메뉴들이 만원도 받지 않아요??

푸팟퐁커리는 ... 제대로 먹으면 3만원도 넘는데 말이죠; 가성비 최고??

#맛집 #먹방 #맛스타그램 #먹스타그램 #foodie #foodstagram #instafood #foodporn #foodpics #yummy #vietnamesefood #kuzachoice 
#홍보 #대놓고홍보"
#빠빠빠치킨 #daily  #먹스타그램  #치맥 #신촌맛집
우와～！ 늦은 시간이지만 배가 고팠습니다……?? 먹고 싶습니다??
우와～！ 늦은 시간이지만 배가 고팠습니다……?? 먹고 싶습니다??
#더멜팅팟 #더멜팅팟캔메이커 #신촌맛집 #아보카도수제햄버거 #수제햄버거맛집 #avocado #themeltingpot #avocadolove
"맛집 탐방 ??
.
.
.
#강원도횡성#횡성한우#고기육즙#최고 ????
#홍대#젠틀서퍼#안주짱맛#훈남사장님 ??
#신촌#신촌맛집#이찌멘#일본식#나가사끼짬뽕"
#신촌맛집 #홍대맛집 #김치돈 #삼겹살맛집 #삼겹살 #김치삼겹살
"언제까지 이 모양 이 꼴로 살수 없다
나도 예뻐지고싶고 나도 날씬한 몸매 갖고싶다
-
칼대기엔 무섭고 운동하자니 힘들고 
맘편하게 건강해지면서 덤으로 체지방만 쏙 빼주는 해독할란다
-
운동없이 근육량 늘려주고 체지방만 쏙! 빼준다는데
-
딴데 쓸데없이 효과없고 요요오는데다가 돈쳐바를바에 
해독하고 예뻐지고 건강해지는데에 돈쳐바를란다??
.
.
.
#카페추천#일상#맛집#먹부림#신촌맛집#강남맛집#홍대맛집#이태원맛집#핵맛#압구정맛집#조리원#조리원동기#육아#출산맘#예비맘#딸바보#아들바보#애스타그램#친구결혼#당일치기#당일여행#주말약속#홍대#드라이브#야경#데이트#공연#대학로"
사진 잘 보고가요.. 소통해요??
고기고기고기????#신촌맛집 #스테이크맛집 #블랙스톤 #저녁 #고마워?? #고기사랑 #영이랑같이 #먹스타그램 #일상 #주말스타그램 #신촌맛집왜다줄서야돼ㅠㅠ
사진 잘 보고가요.. 소통해요??
맛있어보이네요ㅎ
"신촌에 생선요리 전문점을 가서 먹은 고등어...밖에서 구워줘서 식당 안에서는 냄새가 전혀 나질 않는다. 운동 후 잘 구워진 고등어에 된장찌개를 먹으니 기가 막힌다. 고등어 말고도 삼치랑 또 다른 생선이 더 있던데, 암튼  진짜 맛있다 여기... 와사비 섞은 간장에 찍어 먹으면 진짜 맛있다...#생선요리 #고등어 #간고등어 #백반 #한식 #신촌맛집 #고삼이 #생선구이 #맛집 #된장찌개"
맛있어보이네요ㅎ
#신촌맛집#신촌짚신#짚신매운갈비찜
사진 잘 봤어요 ? 놀러와주세요 :)
".
안녕하세요 
신촌 야바이 입니다^^
다름이 아니고 저희가 내일(22일 월요일) 사정이 생겨 하루 쉬게 되었어요..
사정은 사실.. 저희 직원들이 다 같이 야유회를 갑니다??
날이 너무 좋아서 지친 직원들 기분 전환도 시켜줄겸 콧구멍에 바람 좀 쐬고 오려고요??
미리 말씀 못드린점 죄송합니다!
내일 인스타 폭풍 업뎃도 이해 해주세요??
우리 야바이에서 만나요??
#신촌 #신촌맛집 #신촌역맛집
#야바이 #yabai #철판요리 
#오코노미이야끼 #okonomiyaki 
#몬자야끼 #야끼소바
#야유회 #일요일 #월요일
#인스타 #데일리 #맞팔 #선팔 #소통 #인증샷 #이벤트
#날이좋아서 #떠나요 #굿밤"
사진 잘 봤어요 ? 놀러와주세요 :)
#미분당 #신촌 #신촌쌀국수 #웨이팅 #어마무시한쌀국수 #배불러 #쌀국수 #짜조 #조용한식사 #혼밥 #혼국 #신촌맛집 #맛있다 #추천 #최고 #룰루 #쌀국수집투어해야지 #다음은 #공덕
#미분당 #신촌 #신촌쌀국수 #웨이팅 #어마무시한쌀국수 #배불러 #쌀국수 #짜조 #조용한식사 #혼밥 #혼국 #신촌맛집 #맛있다 #추천 #최고 #룰루 #쌀국수집투어해야지 #다음은 #공덕
쌀국수에 빠진 요즘. #퐁당
"누워서 쵸코하임 신나게먹고있는데
맛있는녀석들에 내가 먹은 오코노미야끼나오는것
노무잘먹고다니는요즘
#데일리 #일상 #맛스타그램 #먹스타그램 #먹방 #음식스타그램 #푸드스타그램 #맛있다 #쿡스타그램 #인스타그램 #맛집투어 #맛집탐방 #맛집추천 #꿀맛 #아이폰7 #daily #iphone7 #foodporn #instafood #서울맛집 #신촌맛집 #야바이 #맛있는녀석들 #오코노미야끼 #일요일 #주말 #마무리 #버닝다이어트 #버닝중"
"#마앤라 #신촌샤브샤브 #이대샤브샤브 #훠궈 #신촌맛집 #이대맛집 #중국식훠궈 #しゃぶしゃぶ #しんちょん #中?式
#おいしい #うまい"
#신촌맛집 #신촌연어 #연어상회신촌 #신촌연어무한리필 #신촌술집 음료수주세요??!! #달걀 은 편의점에서?? #자급자족
11일만에 만난 황구?? 금요일은 나도 바빴어서 쉬게 해주고 토요일 일요일 신나게 놀았다. 피셋 검수 들어가서 돈 벌면 여우골 데려가서 사줬었는데 이번에도 얼마나 됐다고 벌써 첫 월급턱을 냈다??;; 초밥은 최우영스시만 맨날 가다가 오랜만에 여우골 먹어서 맛있었다 ㅎㅎ 그리고 다음날 잠실에 #엘꼴라시코 도 보러갔다. 채은성이 역전 적시타 쳐서 기분좋게 이겨따 후후 그러나 너무 좋아서 발광하던 황구가 내 프리다칼로 전시 에코백 줄 끊어먹음..?? 그래도 재밌었당.. 키키 다섯 밤 자고 또 재밌게 놀자???? 파이팅!! #럽스타그램 #1129일 #신촌맛집 #여우골 구 #은행골 #엘지트윈스 #승요 #주말데이트 #먹스타그램 #초밥 #워어어어어어얼화아아아아수우우모옥금퇼
소통합시다!!!! ???? ????
Pretty cool :)
#신촌 #신촌맛집 #신촌맛집?? #신촌맛집추천 #신촌파스타 #파르미이탈리아노 #먹방 #먹스타그램 #맛스타그램
소통합시다!!!! ???? ????
Pretty cool :)
놀러왔어요~ 소통하고 지내요><
놀러왔어요~ 소통하고 지내요><
"#Repost @wldms1157
???
신촌#영랜드#발당구#회원권#재밌당#오앙#연휴#즐거워
.
++영랜드::소질이 느껴지셔용??????
.
.
.
.
#영랜드 #발당구 #발포켓볼 #신촌데이트 #이대데이트 #이대 #이대역 #이대놀거리 #신촌놀거리 #이대추천 #실내데이트 #이색데이트 #신촌 #신촌역 #신촌맛집 #이대맛집 #서울 #데이트 #존잼#럽스타그램 #커플 #고양이카페 #고양이 #이대고양이카페"
술이아주 맛있지
인스타 잘 보고 갑니다
술이아주 맛있지
인스타 잘 보고 갑니다
오빠랑 일년만에 다시 온 신촌고깃집~~~ 첫 소주당?? #철길왕갈비살 #신촌맛집 #홍대맛집
"#Repost @dohyoung818
???
발당구 , 오락 , 닌텐도Wii
#영랜드 #발당구 #3승1패 #닌텐도 #Wii #팔 #아파 #꿀잼
.
.
.
.
#발포켓볼 #신촌데이트 #이대데이트 #이대 #이대역 #이대놀거리 #신촌놀거리 #이대추천 #실내데이트 #이색데이트 #신촌 #신촌역 #신촌맛집 #이대맛집 #서울 #데이트 #존잼#럽스타그램 #커플 #고양이카페 #고양이카페"
"#아토규카츠 신촌점,#신촌맛집,#규카츠맛집??,#신촌 규카츠"
?내사랑 챠린 생축해?
@mini_minhee777 사랑해?????????
?내사랑 챠린 생축해?
@mini_minhee777 사랑해?????????
#포석정 #신촌 #신촌맛집 #먹스타 #먹스타그램 ?????
소스듬뿍 맛있어보여??
타맥ㅋㅋㅋ맛있겟당~??
소스듬뿍 맛있어보여??
타맥ㅋㅋㅋ맛있겟당~??
"타맥은 #타코로코 ????
고민하다가 결국엔 맨날 #비프타코 ㅋㅋ
여기서 처음먹어본 엔칠라다도 음~ 맥주에딱
고기고기고기한날
.

#신촌맛집#타코#타코로코#비프타코#엔칠라다#고수많이#결국고기고기군#타맥#넘나더워서#맥주#한주또잘버텨보자"
피드 잘봤어요 소통 하고 지내요
피드 잘봤어요 소통 하고 지내요
#신촌맛집 #신촌초밥 #신촌롤집 #신촌스시 #신촌데이트 #신촌롤 #신촌라임 #라임 #라임스시 #라임롤집 #신촌라임롤집
@99_jinha 인정 ?
나랑도가....
@99_jinha 인정 ?
나랑도가....
"맛집탐방?????
.
.
.
.
.
.
#신촌 #신촌맛집 #장군찜닭 #홍대 #홍대맛집 #일상 #일상스타그램 #데일리 #데일리룩 #셀카 #셀스타그램 #selstagram #selca #selfie #아이폰 #고딩 #고3 #99 #팔로우 #팔로잉 #맞팔 #f4f #follow"
