,id,filter_type,like_count,comment_count,num_tag,a_raw_name,result,foodornot,raw_url
694,1530047274876374890_622621465,0,-0.317650615,5,-0.126578722,0,0.091,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18947435_539422116448825_9211438719330942976_n.jpg?ig_cache_key=MTUzMDA0NzI3NDg3NjM3NDg5MA%3D%3D.2&se=7
720,1530302826612722807_3303121953,1,-0.35781377,1,0.871445816,0,0.061,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18879331_1722432421382649_759064276190101504_n.jpg?ig_cache_key=MTUzMDMwMjgyNjYxMjcyMjgwNw%3D%3D.2&se=7
742,1530298725330342412_1535684346,0,-0.354724296,0,-0.825195899,0,0.061,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18949566_116560672265775_3485301162532405248_n.jpg?ig_cache_key=MTUzMDI5ODA4NzQ0MzgwNDQxMg%3D%3D.2&se=7
759,1530296588281679752_242799172,0,-0.356269033,4,-0.825195899,0,0.061,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18723497_1626777310698263_3095608793967362048_n.jpg?ig_cache_key=MTUzMDI5NjU4ODI4MTY3OTc1Mg%3D%3D.2&se=7
790,1530285254056434930_3899682277,0,-0.36708219,0,-0.825195899,0,0.061,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18812880_1339052859482524_6451167739041021952_n.jpg?ig_cache_key=MTUzMDI4NDU4Mjk1MTE1NTAxOQ%3D%3D.2
814,1530278170682847234_1778497125,0,-0.333097983,1,-0.226381176,0,0.061,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18879821_1332273250226069_700559829411823616_n.jpg?ig_cache_key=MTUzMDI3Njg5MTMwMjY4ODI2Mw%3D%3D.2&se=7
835,1530226289405974921_2208711752,1,-0.347000613,0,-0.725393445,1,0.061,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18889034_1673726642655055_6543716141011828736_n.jpg?ig_cache_key=MTUzMDIyNjI4OTQwNTk3NDkyMQ%3D%3D.2&se=7
864,1530158226623041361_1976616583,0,-0.308382195,6,-0.32618363,0,0.061,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18812138_1786250188354866_4354910956254396416_n.jpg?ig_cache_key=MTUzMDE1NjMyMTM1MTk2NTEzNQ%3D%3D.2&se=7
896,1529869928244819852_2309185613,1,-0.303747985,1,-0.026776268,1,0.061,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18947446_246869079126245_6792404179198410752_n.jpg?ig_cache_key=MTUyOTg2OTkyODI0NDgxOTg1Mg%3D%3D.2&se=7
917,1529861032796651670_1515705473,1,-0.339276929,0,-0.32618363,0,0.061,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18723369_170245386844019_2753524845093322752_n.jpg?ig_cache_key=MTUyOTg2MTAzMjc5NjY1MTY3MA%3D%3D.2&se=7
948,1530121204726484347_4012532719,0,3.27540698,3,-0.425986083,0,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18879425_1460604030653050_381139134468587520_n.jpg?ig_cache_key=MTUzMDEyMTIwNDcyNjQ4NDM0Nw%3D%3D.2&se=7
978,1530119918710765018_4011070710,0,3.297033294,1,-0.32618363,0,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18812174_1364036813632692_1678946760896020480_n.jpg?ig_cache_key=MTUzMDExOTkxODcxMDc2NTAxOA%3D%3D.2&se=7
1008,1530112733331888929_3441546607,0,3.230609615,0,-0.825195899,1,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18888899_299504810508140_8824098438065946624_n.jpg?ig_cache_key=MTUzMDExMjczMzMzMTg4ODkyOQ%3D%3D.2&se=7
1039,1528100695319230931_3441667281,0,3.164185937,4,-0.825195899,1,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18879388_375513756183673_1841202310282215424_n.jpg?ig_cache_key=MTUyODEwMDY5NTMxOTIzMDkzMQ%3D%3D.2&se=7
1062,1530307051048528795_4330835926,0,-0.363992717,0,-0.226381176,1,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18947386_134772220420930_398355034133233664_n.jpg?ig_cache_key=MTUzMDMwNDEwMjgzODcwMTM1OQ%3D%3D.2&se=7
1086,1530305984269848141_469816608,0,-0.360903243,0,-0.32618363,1,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18723582_297869823986479_4614906427855601664_n.jpg?ig_cache_key=MTUzMDMwNTI1NDI5MzE4ODUyNQ%3D%3D.2&se=7
1113,1530305510690320098_1111112496,0,-0.340821666,0,0.073026186,1,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18888906_316512522116898_295301636077649920_n.jpg?ig_cache_key=MTUzMDMwNTUxMDY5MDMyMDA5OA%3D%3D.2
1138,1530305322634706360_1111112496,1,-0.350090086,0,0.17282864,1,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18947907_1972735396291368_4683420149888319488_n.jpg?ig_cache_key=MTUzMDMwNTMyMjYzNDcwNjM2MA%3D%3D.2
1174,1530305131768553795_1111112496,0,-0.345455876,0,-0.126578722,1,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18808761_1446926002030818_651977543066320896_n.jpg?ig_cache_key=MTUzMDMwNTEzMTc2ODU1Mzc5NQ%3D%3D.2
1191,1530303610159624652_4192055991,1,-0.342366403,0,-0.026776268,1,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18514135_241090379709928_4638941163628265472_n.jpg?ig_cache_key=MTUzMDMwMzYxMDE1OTYyNDY1Mg%3D%3D.2&se=7
1208,1530271007313704280_5367358548,0,-0.359358507,0,-0.725393445,1,0.03,1,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18879794_418075305242450_1034870518840295424_n.jpg?ig_cache_key=MTUzMDI2NzMyMjc2MDE3NjA3Mw%3D%3D.2&se=7
1234,1530259700805145074_4203531709,1,-0.351634823,1,-1.024800806,0,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18382080_501116003613430_7867958689850720256_n.jpg?ig_cache_key=MTUzMDI1OTcwMDgwNTE0NTA3NA%3D%3D.2&se=7
1260,1530238090675977177_2930280809,0,-0.342366403,1,-1.12460326,0,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18812392_135738846985431_7799083219902529536_n.jpg?ig_cache_key=MTUzMDIzODA5MDY3NTk3NzE3Nw%3D%3D.2&se=7
1278,1530234211238482864_1942743159,0,-0.360903243,0,-0.924998352,0,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18878905_750487278458612_9188063033404948480_n.jpg?ig_cache_key=MTUzMDIzNDIxMTIzODQ4Mjg2NA%3D%3D.2&se=7
1304,1530232345502733838_1700559109,0,-0.35317956,1,-0.825195899,1,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18812372_306306833153133_3936951887495954432_n.jpg?ig_cache_key=MTUzMDIzMjM0NTUwMjczMzgzOA%3D%3D.2&se=7
1328,1530231984458324528_726530321,0,-0.308382195,3,-0.625590991,1,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18888555_796557163850854_1049453728106545152_n.jpg?ig_cache_key=MTUzMDIzMTk4NDQ1ODMyNDUyOA%3D%3D.2&se=7
1354,1530230505194419707_726530321,0,-0.317650615,0,-0.825195899,1,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18947398_301823816936745_958817067618795520_n.jpg?ig_cache_key=MTUzMDIzMDUwNTE5NDQxOTcwNw%3D%3D.2&se=7
1375,1530228027988122938_197239166,1,-0.337732193,0,-0.825195899,0,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18947616_1275274165918867_2298224695008296960_n.jpg?ig_cache_key=MTUzMDIyODAyNzk4ODEyMjkzOA%3D%3D.2&se=7
1400,1530225333650175784_1547898213,0,-0.288300618,4,-0.026776268,1,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18879410_184048198789927_1056953286466207744_n.jpg?ig_cache_key=MTUzMDIyMzYwMjIwNzkzOTExOA%3D%3D.2&se=7
1425,1530221075216272742_1323003014,0,-0.356269033,0,-0.725393445,0,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18809346_1570372636340078_7500530181912657920_n.jpg?ig_cache_key=MTUzMDIyMTA3NTIxNjI3Mjc0Mg%3D%3D.2&se=7
